ASASSN-V J000002.96+772205.2
HJD MAG MAG_ERR FLUX FLUX_ERR
2458048.73541 13.195 0.0224 20.234 0.417
2458045.72594 13.174 0.0225 20.618 0.427
2458033.97275 13.234 0.02225 19.515 0.399
2458024.93242 13.166 0.02254 20.769 0.431
2458023.82818 13.167 0.02253 20.75 0.43
2458010.87326 13.29 0.02207 18.532 0.376
2458003.91351 13.236 0.02224 19.476 0.399
2457997.89449 13.255 0.02218 19.143 0.391
2457997.03026 13.267 0.02242 20.278 0.418
2457983.07984 13.12 0.02326 23.216 0.497
2457974.97717 13.17 0.02293 22.181 0.468
2457959.00951 13.214 0.02232 19.882 0.408
2457949.07629 13.15 0.02262 21.082 0.439
2457942.04246 13.175 0.0229 22.078 0.465
2457927.08065 13.272 0.02212 18.845 0.384
2457911.06446 13.226 0.02228 19.65 0.403
2457886.12154 13.303 0.02204 18.309 0.371
2457766.72695 13.297 0.02229 19.73 0.405
2457755.77423 13.29 0.02207 18.526 0.376
2457746.86534 13.287 0.02233 19.906 0.409
2457746.80745 13.276 0.02211 18.78 0.382
2457737.74345 13.298 0.02229 19.72 0.404
2457735.89282 13.288 0.02233 19.896 0.409
2457735.83926 13.282 0.02209 18.674 0.38
2457715.74782 13.296 0.0223 19.756 0.405
2457708.73655 13.238 0.02223 19.437 0.398
2457707.8364 13.321 0.022 18.006 0.364
2457707.72936 13.275 0.02238 20.124 0.414
2457704.83712 13.235 0.02257 20.88 0.433
2457696.86156 13.122 0.02277 21.634 0.453
2457694.94626 13.161 0.02256 20.865 0.433
2457689.95664 13.238 0.02255 20.835 0.432
2457688.83799 13.29 0.02207 18.524 0.376
2457674.96941 13.285 0.02209 18.613 0.378
2457670.92277 13.252 0.02248 20.561 0.425
2457669.78117 13.258 0.02246 20.454 0.423
2457652.85601 13.255 0.02247 20.499 0.424
2457637.95386 13.239 0.02223 19.423 0.397
2457636.93198 13.233 0.02257 20.926 0.435
2457630.90407 13.265 0.02214 18.966 0.386
2457622.01244 13.221 0.02264 21.157 0.441
2457604.0402 13.244 0.02252 20.721 0.429
2457579.10639 13.301 0.02228 19.651 0.403
